,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
80,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
81,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.6600000095367432,0.719999999659402
82,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.6799999976158142,0.7228571425165449
83,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
84,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.6799999976158142,0.7142857139451163
85,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.6600000095367432,0.719999999659402
86,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
87,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
88,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
89,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
90,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.6399999976158142,0.7114285738127573
91,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.6399999976158142,0.7057142880984715
92,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
93,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.6600000095367432,0.7171428568022592
94,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
95,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
96,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
97,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
98,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
99,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
100,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
101,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
102,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
103,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
104,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
